_id,BIN,SumAREA,WMeanAREA,MaxAREA,MaxVIEWS,MaxSOLAR,WMeanVIEWS,WMeanSOLAR,WMeanCOMPACTNESS,MaxWIDTH,HEIGHTROOF,YEAR,NAME,BBL,LandUseString,ASPECT,SUBWAY800,SUBWAY400,SBIN
9007,1015010,53571.93,7653.13,7653.13,2.84,2.47,48.04,0.84,0.94,75.43,81.58,1905,,1008010030,RESIDENTIAL,SIDEBLOCK,4,1,S1015010
9008,1015011,6339.94,1268.1,1286.29,1.82,1.29,34.95,0.5,0.87,22.01,39.747338,1920,,1008010036,MIXED,CORNERBLOCK,6,1,S1015011
9009,1015012,4343.23,723.87,723.87,1.94,1.67,18.15,0.35,0.94,18.64,40.730095,2001,,1008010034,MIXED,ENDBLOCK,6,2,S1015012
9010,1015013,4571.97,761.98,764.24,1.8,1.62,17.84,0.45,0.94,20.47,40.491763,2001,,1008010034,MIXED,ENDBLOCK,6,2,S1015013
9011,1015014,6108.51,1221.7,1221.7,1.71,1.71,17.9,0.54,0.85,20.47,40.253432,1935,,1008010039,MIXED,SIDEBLOCK,6,2,S1015014
9012,1015015,6296.88,1259.59,1270.14,1.61,2.06,20.7,0.59,0.86,20.54,39.919768,1901,,1008010040,MIXED,SIDEBLOCK,6,2,S1015015
9013,1015016,5796.36,2898.18,2900.87,0.53,0.35,14.73,0.26,0.96,41.21,18.07,1935,,1008010041,COMMERCIAL,SIDEBLOCK,6,2,S1015016
9014,1015019,25924.85,3703.54,3713.55,0.58,0.15,14.53,0.06,0.93,41.27,79.42,1907,,1008010049,RESIDENTIAL,SIDEBLOCK,4,2,S1015019
9015,1015020,94033.43,7233.34,7233.34,2.48,3.09,41.85,0.92,1,83.86,144.28,1911,,1008010051,COMMERCIAL,SIDEBLOCK,4,2,S1015020
9016,1015021,76434.45,5879.57,5898.62,5.51,5.44,33.95,0.52,0.99,66.6,153.15,1913,,1008010055,INDUSTRIAL,SIDEBLOCK,4,2,S1015021
9017,1015022,9585.25,1917.16,1922.65,0.36,0,9.68,0,0.82,24.77,62.01,1930,,1008010058,COMMERCIAL,SIDEBLOCK,4,1,S1015022
9018,1015023,15973.63,2281.95,2281.95,0.66,0,14.27,0,0.79,23.69,77.16,1912,,1008010059,RESIDENTIAL,SIDEBLOCK,4,1,S1015023
9019,1015025,91514.68,7039.59,7039.59,8.07,7.06,48.02,0.89,1,81.07,154.17,1911,,1008010061,INDUSTRIAL,SIDEBLOCK,4,1,S1015025
